X3 Customer Number,C000635,,,,,,,,,
Company Name,Wallboard Trim & Tool Inc,,,,,,,,,
,,,,,,,,,,
Item Code,Item Description,Length,Pieces / Box+,Boxes / Pallet,Ship Weight,Qty Break,Price ($/Box),Price ($/mft),MSRP ($/Box),MSRP ($/mft)
STDE-75,"Starter Trac Drip Edge, 3/4""",10,30,20,62.3,1+,543.27,1810.9,835.8,2786
STWP-1,"Starter Trac w/ Weep Holes, 1""",10,25,20,60.8,1+,447.69,1790.76,688.75,2755
STWP-15,Starter Trac w/ Weep Holes,10,20,20,58.3,1+,396.24,1981.2,609.6,3048
STWP175,Starter Trac w/ Weep Holes,10,15,,33.5,1+,314.34,2095.6,483.6,3224
STWP-2,"Starter Trac w/ Weep Holes 2""",10,15,20,47.3,1+,330.82,2205.47,508.95,3393
STWP-25,Starter Trac w/ Weep Holes,10,15,20,43.3,1+,363.48,2423.2,559.2,3728
STWP-3,"Starter Trac w/ Weep Holes, 3""",10,10,20,31.3,1+,266.63,2666.3,410.2,4102
STWP-4,"Starter Trac w/ Weep Holes, 4""",10,10,20,33.3,1+,326.95,3269.5,503,5030
STWP-50,Starter Trac w/ Weep Holes ,10,35,20,68.3,1+,446.36,1275.31,686.7,1962
STWP-58,Starter Trac w/ Weep Holes,10,35,20,56.1,1+,492.99,1408.54,758.45,2167
STWP-75,Starter Trac w/ Weep Holes,10,30,20,51.5,1+,487.5,1625,750,2500
STWP-78,Starter Trac w/ Weep Holes,10,30,,46.7,1+,487.5,1625,750,2500
SX-187-16,"Casing Bead, 1 5/8""",10,75,20,42.2,1+,268.61,358.15,413.25,551
UDM-25,Ultra-Drain Mat Roll,62,1,18,25,1+,137.8,2222.58,212,3419.35
UDM-40,Ultra-Drain Mat Roll,40,1,18,25,1+,120.25,3006.25,185,4625
UDT-1,"U-Drip Trac, 3 1/2""",10,40,20,71.3,1+,475.8,1189.5,732,1830
VST1,"Vent Screen Trac, 1""",10,25,20,50.3,1+,337.51,1350.04,519.25,2077
VST-15,"Vent Screen Trac, 1 1/2""",10,20,20,41.3,1+,341.25,1706.25,525,2625
VST-2,"Vent Screen Trac, 2""",10,15,20,42.8,1+,316.19,2107.93,486.45,3243
VST3,"Vent Screen Trac, 3""",10,10,,29.3,1+,240.31,2403.1,369.7,3697
VST-50,"Vent Screen Trac, 1/2""",10,35,20,50.8,1+,345.35,986.71,531.3,1518
VST58,"Vent Screen Trac, 5/8""",10,35,,50.8,1+,392.44,1121.26,603.75,1725
WDA-15,Window Door Arch Drip Edge ,10,30,20,73.8,1+,515.78,1719.27,793.5,2645
TOTALS,,5931.40,21405.00,37213.00,23632.70,698.00,150952.20,543472.71,230362.38,833452.47
